"Pattern1"	"Pattern2"	"Pattern3"	"Pattern4"	"Pattern5"	"MAP"	"PPDE"
"ENSMUSG00000028976_Slc2a5"	0.00179135944766991	0.97745722140852	8.64526367746795e-05	0.00984785266409082	0.0108171138429447	"Pattern2"	0.99820864055233
"ENSMUSG00000067235_H2-Q10"	0.00184933755791461	0.98947141468358	0.00542104755034209	5.15901753407967e-06	0.00325304119062883	"Pattern2"	0.998150662442086
"ENSMUSG00000027468_Defb22"	0.00186163707330925	2.43327667504211e-13	0.998138362926101	3.46635462756529e-13	4.89082199740001e-18	"Pattern3"	0.998138362926691
"ENSMUSG00000027474_Ccm2l"	0.00187765226921385	2.74738342220907e-05	0.000654583494598141	0.994988999461222	0.00245129094074416	"Pattern4"	0.998122347730786
"ENSMUSG00000026471_Mr1"	0.00198151952902609	0.995990814122237	8.15659309458137e-06	0.000756103367970948	0.00126340638767138	"Pattern2"	0.998018480470974
"ENSMUSG00000020609_Apob"	0.00212123756920414	0.994657655737099	3.32724603625195e-06	0.000233064160097917	0.0029847152875623	"Pattern2"	0.997878762430796
"ENSMUSG00000005836_Gata6"	0.00224831516988801	0.97432244241298	0.0150472553403523	6.42383719943518e-06	0.00837556323958013	"Pattern2"	0.997751684830112
"ENSMUSG00000028525_Pde4b"	0.0023190120423463	7.88411149687806e-06	0.25611026125939	0.69615341154675	0.0454094310400165	"Pattern4"	0.997680987957654
"ENSMUSG00000071550_Wdr52"	0.00238467465742055	6.71796781026539e-06	6.21878786886208e-05	0.995444306554387	0.00210211294169333	"Pattern4"	0.997615325342579
"ENSMUSG00000031133_Arhgef6"	0.00242903508794841	0.977043028816057	1.54314835462591e-06	0.0163928907419914	0.00413350220564876	"Pattern2"	0.997570964912052
"ENSMUSG00000032348_Gsta4"	0.00262277706511216	0.980289672368042	3.52491162423175e-06	0.0130262182056002	0.00405780744962182	"Pattern2"	0.997377222934888
"ENSMUSG00000045394_Epcam"	0.00272919962961562	1.22106504985313e-05	0.000236586181621084	0.992638407578908	0.0043835959593565	"Pattern4"	0.997270800370384
"ENSMUSG00000006494_Pdk1"	0.00282737213528232	0.996244306488753	2.24419465116285e-05	0.000226607090809808	0.000679272338643655	"Pattern2"	0.997172627864718
"ENSMUSG00000051314_Ffar2"	0.00290146901763529	0.968337043610322	1.15977034197882e-06	0.0247369870086985	0.00402334059300228	"Pattern2"	0.997098530982365
"ENSMUSG00000027318_Adam33"	0.00296505769289506	0.994948378919291	5.10353422806837e-05	0.000461608563276414	0.00157391948225716	"Pattern2"	0.997034942307105
"ENSMUSG00000029710_Ephb4"	0.0030663981268589	0.00139693616249335	9.41428363546621e-06	0.994130971033812	0.00139628039319978	"Pattern4"	0.996933601873141
"ENSMUSG00000063428_Ddo"	0.00313469973060393	0.990319357698461	1.34278146861982e-05	0.00358253906808729	0.00294997568816148	"Pattern2"	0.996865300269396
"ENSMUSG00000031881_Cdh16"	0.00341578735745187	1.04247621060814e-05	0.00016543568601445	0.993610337451122	0.00279801474330521	"Pattern4"	0.996584212642548
"ENSMUSG00000002997_Prkar2b"	0.00353510276326876	0.99627907071666	7.6781392474123e-05	1.40670212202135e-06	0.000107638425475295	"Pattern2"	0.996464897236731
"ENSMUSG00000016496_Cd274"	0.00363876246019514	0.995722472573043	3.42561431152098e-05	3.26891749318203e-05	0.000571819648714816	"Pattern2"	0.996361237539805
"ENSMUSG00000046718_Bst2"	0.00368448317022605	5.28518771072219e-05	0.993662389390493	0.000271400890289813	0.00232887467188417	"Pattern3"	0.996315516829774
"ENSMUSG00000006345_Ggt1"	0.00377733551922244	1.50489654595626e-05	0.000138225551638495	0.993032686407186	0.00303670355649386	"Pattern4"	0.996222664480778
"ENSMUSG00000018999_Slc35b4"	0.0038390316500571	0.995460370595678	8.79342540027753e-05	2.50876235171889e-05	0.000587575876745294	"Pattern2"	0.996160968349943
"ENSMUSG00000032783_Troap"	0.00385600090555586	0.0234693189644077	7.03494748821395e-05	0.959114356829116	0.0134899738260377	"Pattern4"	0.996143999094444
"ENSMUSG00000021702_Thbs4"	0.00417606762601108	0.00643063050713929	0.000348087963336656	0.979860036652442	0.00918517725107147	"Pattern4"	0.995823932373989
"ENSMUSG00000052534_Pbx1"	0.00419338835218132	0.980566710356098	0.0111564063677419	4.87165524081362e-06	0.00407862326873797	"Pattern2"	0.995806611647819
"ENSMUSG00000044201_Cdc25c"	0.0042004153623544	0.924117703224118	1.75921829712627e-05	0.0435281259230273	0.0281361633075293	"Pattern2"	0.995799584637646
"ENSMUSG00000020282_Rhbdf1"	0.00425606170000093	0.99505799266776	2.12251786140701e-05	0.000102876976884039	0.000561843476740915	"Pattern2"	0.995743938299999
"ENSMUSG00000005320_Fgfr4"	0.00439068163466009	3.32439719415329e-05	0.000849392035262203	0.986348062083742	0.00837862027439416	"Pattern4"	0.99560931836534
"ENSMUSG00000038298_Pdzk1"	0.00461103598462246	1.93833736143095e-05	0.000289074204139926	0.991244750880223	0.00383575555739994	"Pattern4"	0.995388964015378
"ENSMUSG00000040451_Sgms1"	0.00467824105036587	0.0571944191132397	0.925308474346164	1.00019198167792e-05	0.0128088635704133	"Pattern3"	0.995321758949634
"ENSMUSG00000022812_Gsk3b"	0.00470336194496655	0.993179596906003	0.000981274079764806	8.82350204116849e-06	0.00112694356722497	"Pattern2"	0.995296638055034
"ENSMUSG00000041268_Dmxl2"	0.00478507620440596	0.988088799765549	0.00465337894713737	6.42142648250084e-06	0.00246632365642481	"Pattern2"	0.995214923795594
"ENSMUSG00000089665_Fcor"	0.00480162120815821	0.983962200215904	5.26082429909278e-06	0.00885445141975981	0.00237646633187897	"Pattern2"	0.995198378791842
"ENSMUSG00000005718_Tfap4"	0.00487362504256606	0.992364455828008	0.00065925872876063	9.1110720633454e-05	0.00201154968003181	"Pattern2"	0.995126374957434
"ENSMUSG00000021360_Gcnt2"	0.00498724830182256	0.993167093126737	5.98561983375934e-06	0.00085558676432855	0.000984086187278158	"Pattern2"	0.995012751698177
"ENSMUSG00000032035_Ets1"	0.00507952464534475	0.000109385136494231	0.000167498307721692	0.993709959997673	0.000933631912766804	"Pattern4"	0.994920475354655
"ENSMUSG00000036814_Slc6a20a"	0.00539481532784703	5.72956378227422e-18	0.942947869853567	0.0516573147925903	2.59957806599751e-11	"Pattern3"	0.994605184672153
